# kind	destination	sha256	immutable-or-authoritative-url	component
notice	THIRD_PARTY_NOTICES/Noto-2026.06.01-LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	https://raw.githubusercontent.com/notofonts/notofonts.github.io/cc22e3ec1491171c13ccf17b6297ac666b2c0112/LICENSE	Noto monthly release 2026.06.01 (Alpine 2026.06.01-r0)
notice	THIRD_PARTY_NOTICES/Noto-CJK-Sans2.004-LICENSE	6a73f9541c2de74158c0e7cf6b0a58ef774f5a780bf191f2d7ec9cc53efe2bf2	https://raw.githubusercontent.com/notofonts/noto-cjk/523d033d6cb47f4a80c58a35753646f5c3608a78/LICENSE	Noto CJK Sans2.004 (Alpine 0_git20220127-r1)
notice	THIRD_PARTY_NOTICES/Bash-5.3.9-GPL-3.0.txt	3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986	https://www.gnu.org/licenses/gpl-3.0.txt	GNU GPL 3 text for Bash 5.3.9 review
source	THIRD_PARTY_SOURCES/plantuml-1.2026.6-sources.jar	169973261473fa1c7f403608a543333caffbc3dfaecbe1febd6d9626d28ffdf2	https://github.com/plantuml/plantuml/releases/download/v1.2026.6/plantuml-1.2026.6-sources.jar	PlantUML 1.2026.6 official corresponding source jar
source	THIRD_PARTY_SOURCES/OpenJDK-21.0.11.tar.gz	3d1c7abc3690c7bd10a9b0fce84f85b4bf6bf765a5083cfdc270d7b341ad67d6	https://github.com/openjdk/jdk21u/archive/d8615be992082324aaeb01bd6db275e30485aeea.tar.gz	OpenJDK 21.0.11 upstream source snapshot
source	THIRD_PARTY_SOURCES/Graphviz-12.2.1.tar.gz	8f588ff102b0a9004364779d50715ee5a68bb6ba5182b0203a00103a80dba224	https://gitlab.com/graphviz/graphviz/-/archive/0a1e625ea287ae55e0db59a470f076f8d79d3c4f/graphviz-0a1e625ea287ae55e0db59a470f076f8d79d3c4f.tar.gz	Graphviz 12.2.1 upstream source snapshot
source	THIRD_PARTY_SOURCES/bash-5.3.tar.gz	0d5cd86965f869a26cf64f4b71be7b96f90a3ba8b3d74e27e8e9d9d5550f31ba	https://distfiles.alpinelinux.org/distfiles/v3.24/bash-5.3-1.tar.gz	Bash 5.3 base source used by Alpine 5.3.9-r1
source	THIRD_PARTY_SOURCES/bash53-001	1f608434364af86b9b45c8b0ea3fb3b165fb830d27697e6cdfc7ac17dee3287f	https://ftp.gnu.org/gnu/bash/bash-5.3-patches/bash53-001	Bash 5.3 upstream patch 1
source	THIRD_PARTY_SOURCES/bash53-002	e385548a00130765ec7938a56fbdca52447ab41fabc95a25f19ade527e282001	https://ftp.gnu.org/gnu/bash/bash-5.3-patches/bash53-002	Bash 5.3 upstream patch 2
source	THIRD_PARTY_SOURCES/bash53-003	f245d9c7dc3f5a20d84b53d249334747940936f09dc97e1dcb89fc3ab37d60ed	https://ftp.gnu.org/gnu/bash/bash-5.3-patches/bash53-003	Bash 5.3 upstream patch 3
source	THIRD_PARTY_SOURCES/bash53-004	9591d245045529f32f0812f94180b9d9ce9023f5a765c039b852e5dfc99747d0	https://ftp.gnu.org/gnu/bash/bash-5.3-patches/bash53-004	Bash 5.3 upstream patch 4
source	THIRD_PARTY_SOURCES/bash53-005	cca1ef52dbbf433bc98e33269b64b2c814028efe2538be1e2c9a377da90bc99d	https://ftp.gnu.org/gnu/bash/bash-5.3-patches/bash53-005	Bash 5.3 upstream patch 5
source	THIRD_PARTY_SOURCES/bash53-006	29119addefed8eff91ae37fd51822c31780ee30d4a28376e96002706c995ff10	https://ftp.gnu.org/gnu/bash/bash-5.3-patches/bash53-006	Bash 5.3 upstream patch 6
source	THIRD_PARTY_SOURCES/bash53-007	c0976bbfffa1453c7cfdd62058f206a318568ff2d690f5d4fa048793fa3eb299	https://ftp.gnu.org/gnu/bash/bash-5.3-patches/bash53-007	Bash 5.3 upstream patch 7
source	THIRD_PARTY_SOURCES/bash53-008	097cd723cbfb8907674ac32214063a3fd85282657ec5b4e544d2c0f719653fb4	https://ftp.gnu.org/gnu/bash/bash-5.3-patches/bash53-008	Bash 5.3 upstream patch 8
source	THIRD_PARTY_SOURCES/bash53-009	eee30fe78a4b0cb2fe20e010e00308899cfc613e0774ebb3c8557a1552f24f8c	https://ftp.gnu.org/gnu/bash/bash-5.3-patches/bash53-009	Bash 5.3 upstream patch 9
source	THIRD_PARTY_SOURCES/alpine-aports-1522c319.tar.gz	2650f18e000b4ca9b997b6867c8ff98d89712873143cc5255983d0eb6ad426a3	https://gitlab.alpinelinux.org/alpine/aports/-/archive/1522c3193610902d8493f9790a2755c11f21f26d/aports-1522c3193610902d8493f9790a2755c11f21f26d.tar.gz	Alpine packaging metadata and patches at the Bash 5.3.9-r1 commit
source	THIRD_PARTY_SOURCES/html-xml-utils-8.7.tar.gz	888a31631a7a70308bb2f333e077d0416f4bb78317f8697ffb4a95187f677301	https://www.w3.org/Tools/HTML-XML-utils/html-xml-utils-8.7.tar.gz	html-xml-utils 8.7 source containing COPYING and AUTHORS
